,all_reviews,release_date,developer,game_details,languages,achievements,genre,mature_content,original_price
47,82,"Sep 14, 2017",Arkane Studios,"Single-player,Steam Achievements,Full controller support,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Russian', 'Portuguese - Brazil', 'Traditional Chinese']",30.0,Action,,29.99
48,52,"Feb 15, 2016",Capcom,"Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",45.0,Action,,19.99
49,94,"Oct 13, 2015","Jackbox Games, Inc","Single-player,Local Multi-Player,Local Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",['English'],20.0,"Casual,Indie,Strategy",,24.99
50,80,"Jun 5, 2019",Gattai Games,"Single-player,Steam Achievements,Steam Cloud","['English', 'French', 'German', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",38.0,"Action,Adventure,Casual,Indie,Simulation,Strategy,Early Access", Mature Content Description  The developers describe the content like this:  Includes cartoon violence.  ,19.99
51,72,"Jan 24, 2019",Tindalos Interactive,"Single-player,Multi-player,Online Multi-Player,Steam Achievements,Steam Trading Cards,Steam Cloud","['English', 'French', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Russian']",91.0,Strategy," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Frequent Violence or Gore, General Mature Content  ",39.99
52,87,"Apr 2, 2015",Osumia Games,"Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop","['English', 'French', 'German', 'Spanish - Spain', 'Polish', 'Portuguese', 'Italian', 'Simplified Chinese', 'Portuguese - Brazil', 'Russian', 'Korean', 'Spanish - Latin America']",45.0,"Action,Indie",,14.99
53,85,"Sep 16, 2008",CD PROJEKT RED,"Single-player,Steam Cloud","['English', 'French', 'German', 'Spanish - Spain', 'Italian', 'Czech', 'Russian', 'Hungarian', 'Polish', 'Traditional Chinese']",,"Action,RPG",,9.99
54,77,"Oct 9, 2017",Monolith Productions,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,In-App Purchases,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Russian', 'Arabic', 'Korean', 'Simplified Chinese', 'Traditional Chinese']",72.0,"Action,Adventure,RPG"," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Frequent Violence or Gore, General Mature Content  ",Demo Middle-earth™: Shadow of War™
55,79,"Apr 19, 2017",EarthWork Games,"Single-player,Online Multi-Player,Online Co-op,Steam Achievements,Steam Workshop,Steam Leaderboards,Includes level editor","['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Italian', 'Japanese', 'Korean', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Simplified Chinese', 'Turkish', 'Hungarian']",40.0,"Action,Strategy",,14.99
56,80,"Jun 6, 2012","Standing Stone Games, LLC",MMO,"['English', 'French', 'German']",,"Free to Play,Massively Multiplayer,RPG",,Play for 0!
58,98,"Jun 5, 2019",maJAJa,"Single-player,Steam Achievements,Full controller support,Steam Cloud","['English', 'Traditional Chinese', 'Simplified Chinese']",12.0,"Action,Adventure,Indie,Early Access",,13.99
60,84,"Mar 26, 2015",Obsidian Entertainment,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Commentary available","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian', 'Polish']",48.0,RPG,,59.98
61,75,"Aug 15, 2018",Lazy Bear Games,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","['English', 'French', 'German', 'Simplified Chinese', 'Spanish - Spain', 'Portuguese - Brazil', 'Korean', 'Japanese', 'Russian', 'Italian', 'Polish']",62.0,"Adventure,Indie,RPG,Simulation"," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Frequent Violence or Gore, General Mature Content  ",19.99
62,71,"May 31, 2017","Sparkypants Studios, LLC","Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer,Steam Trading Cards,In-App Purchases","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Russian', 'Portuguese - Brazil']",,Free to Play,,0 to Play
64,83,"Mar 7, 2018",Shiro Games,"Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Cloud","['English', 'French', 'German', 'Russian', 'Simplified Chinese', 'Portuguese - Brazil', 'Polish', 'Spanish - Spain', 'Turkish']",134.0,"Indie,Simulation,Strategy",,29.99
65,64,"Jun 5, 2018",Heroic Leap Games,"Multi-player,Online Multi-Player,Partial Controller Support","['English', 'French', 'German', 'Polish', 'Russian', 'Portuguese', 'Korean', 'Simplified Chinese', 'Japanese', 'Spanish - Latin America']",22.0,"Action,Free to Play,Early Access",,0 To Play
67,69,"Dec 12, 2017",Boneloaf,"Multi-player,Online Multi-Player,Local Multi-Player,Shared/Split Screen,Steam Achievements,Full controller support","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil']",19.0,"Action,Adventure,Casual,Indie",,19.99
69,93,"Nov 15, 2006","CREATIVE ASSEMBLY,Feral Interactive (Mac),Feral Interactive (Linux","Single-player,Multi-player,Steam Trading Cards","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Hungarian', 'Polish', 'Russian']",,Strategy,,24.99
70,86,"Jan 10, 2019","QLOC,BANDAI NAMCO Studios Inc","Single-player,Local Multi-Player,Co-op,Local Co-op,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Russian', 'Traditional Chinese', 'Portuguese - Brazil', 'Spanish - Latin America']",53.0,RPG,,49.99
71,89,"May 12, 2016",Square Enix,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Traditional Chinese']",69.0,RPG,,29.99
72,96,"Oct 18, 2018",Lucas Pope,"Single-player,Steam Achievements,Full controller support","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Russian', 'Korean', 'Simplified Chinese', 'Traditional Chinese']",16.0,"Adventure,Indie", Mature Content Description  The developers describe the content like this:  Passively depicts death and violence in freeze-frame 3D scenes. Contains mild nudity.  ,19.99
73,96,"Sep 26, 2012",The Behemoth,"Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","['English', 'German', 'French', 'Italian', 'Korean', 'Spanish - Spain', 'Simplified Chinese', 'Traditional Chinese', 'Japanese', 'Portuguese', 'Russian']",12.0,"Action,Adventure,Casual,Indie,RPG",,14.99
75,54,"Nov 2, 2017","Sledgehammer Games,Raven Software","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Steam Achievements,Full controller support,Steam Trading Cards,In-App Purchases,Steam Cloud,Valve Anti-Cheat enabled","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",35.0,Action," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Frequent Violence or Gore, General Mature Content  ",1.020
76,82,"Oct 30, 2017",Saber Interactive,"Single-player,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']",62.0,Simulation,,24.99
77,98,"Oct 8, 2015",Steel Crate Games,"Local Multi-Player,Co-op,Local Co-op,Steam Achievements,Full controller support,Steam Workshop,Stats,Steam Leaderboards","['English', 'Japanese']",10.0,Indie,,76.95
78,87,"Dec 19, 2008",Maxis™,Single-player,"['English', 'Czech', 'Danish', 'German', 'Spanish - Spain', 'Finnish', 'French', 'Italian', 'Hungarian', 'Dutch', 'Norwegian', 'Polish', 'Russian', 'Swedish', 'Portuguese']",,Simulation,,19.99
79,71,"Jun 11, 2019",Konami Digital Entertainment,"Single-player,Multi-player,Local Multi-Player,Steam Achievements,Partial Controller Support","['English', 'Japanese']",16.0,Action,,19.99
80,76,"Aug 11, 2015",Fishing Planet LLC,"Single-player,Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Full controller support","['English', 'French', 'German', 'Polish', 'Russian', 'Ukrainian', 'Spanish - Spain', 'Dutch', 'Portuguese - Brazil', 'Simplified Chinese']",,"Free to Play,Massively Multiplayer,Simulation,Sports",,19.99
82,73,"Nov 30, 2015",Avalanche Studios,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Polish', 'Portuguese - Brazil', 'Russian', 'Japanese']",66.0,"Action,Adventure",,19.99
83,95,"Mar 25, 2013","Irrational Games,Aspyr (Mac),Virtual Programming (Linux","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","['English', 'French', 'German', 'Italian', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian', 'Japanese', 'Korean', 'Traditional Chinese']",80.0,Action,,29.99
84,84,"May 15, 2014",Digitalmindsoft,"Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Includes level editor","['English', 'German', 'Russian', 'French', 'Italian', 'Spanish - Spain', 'Polish']",490.0,"Action,Simulation,Strategy",,84.97
85,70,"Jun 25, 2012","Standing Stone Games, LLC",MMO,"['English', 'German', 'French']",,"Action,Adventure,Free to Play,Massively Multiplayer,RPG",,Play for 0!
87,55,"Feb 14, 2019","Spike Chunsoft Co., Ltd","Single-player,Online Multi-Player,Local Multi-Player,Shared/Split Screen,Steam Achievements,Full controller support","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Thai', 'Traditional Chinese']",50.0,Action,,59.99
88,86,"May 30, 2019",White_Rabbit_Games,Single-player,['English'],,"Action,Adventure,Indie,Early Access",,19.99
89,74,"Sep 19, 2018",Aurora Studio,Online Multi-Player,"['English', 'Simplified Chinese']",,"Action,Free to Play,Massively Multiplayer,Early Access", Mature Content Description  The developers describe the content like this:  Includes intense violence and blood.  ,0 To Play
91,88,"Sep 1, 2015",Konami Digital Entertainment,"Single-player,Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Steam Leaderboards","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian']",42.0,"Action,Adventure",,19.99
92,81,"Jun 1, 2017",BANDAI NAMCO Studios Inc,"Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Traditional Chinese']",42.0,"Action,Sports",,39.99
93,80,"Feb 17, 2017",Perfuse Entertainment,"Single-player,Online Multi-Player,Local Multi-Player,Steam Achievements,Steam Workshop,Partial Controller Support,Steam Cloud,Steam Leaderboards,Includes level editor","['English', 'German', 'Spanish - Spain', 'Japanese', 'Russian', 'Czech', 'French', 'Korean', 'Swedish']",28.0,"Casual,Indie,Simulation,Sports,Early Access",,8.99
94,95,"Dec 6, 2016",Mimimi Productions,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Russian', 'Korean', 'Simplified Chinese', 'Portuguese - Brazil', 'Italian', 'Traditional Chinese', 'Turkish']",44.0,"Indie,Strategy"," Mature Content Description  The developers describe the content like this:  Shadow Tactics: Blades of the Shogun is a tactical game about a team of specialists who are tasked with eliminating their opponents by assassinating or sabotaging them. Depending on your style of game play, violence is present: For most missions, there are non-lethal ways to neutralize your opponents, but if you choose to kill them to reach your goal, there will be blood.  ",39.99
95,65,"Oct 18, 2016",RETO MOTO,"Multi-player,Online Multi-Player,MMO,Online Co-op,In-App Purchases","['English', 'French', 'German', 'Spanish - Spain', 'Czech', 'Polish', 'Russian', 'Turkish', 'Portuguese - Brazil', 'Simplified Chinese', 'Korean']",,"Action,Free to Play,Indie,Massively Multiplayer,Strategy",,0 to Play
96,93,"Apr 30, 1995",id Software,"Single-player,Steam Cloud",['English'],,Action,,14.99
97,96,"Jul 10, 2017",Free Lives,"Single-player,SteamVR Collectibles",['English'],,"Action,Indie,Early Access"," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Frequent Violence or Gore, General Mature Content  ",19.99
98,82,"Jan 26, 2018",Arc System Works,"Single-player,Multi-player,Online Multi-Player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Spanish - Latin America']",35.0,Action,,59.99
99,75,"May 9, 2014","SmiteWorks USA, LLC","Multi-player,Co-op,Cross-Platform Multiplayer",['English'],,"Indie,RPG,Strategy",,7.99
100,78,"Oct 27, 2016","QLOC,DIMPS","Single-player,Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian', 'Japanese', 'Traditional Chinese', 'Korean', 'Simplified Chinese']",61.0,"Action,Adventure,Casual,Massively Multiplayer",,49.99
101,86,"Apr 24, 2018",11 bit studios,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","['English', 'French', 'German', 'Spanish - Spain', 'Polish', 'Russian', 'Simplified Chinese', 'Portuguese - Brazil', 'Turkish', 'Italian', 'Japanese', 'Korean']",75.0,"Simulation,Strategy",,29.99
